Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Year,Outlet_Size,Outlet_Location_Type,OUTLET TYPE,SALES
FDF32,16.35,Low Fat,6.80%,Fruits and Vegetables,$196.44,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,977.43"
FDP49,9,Regular,6.91%,Breakfast,$56.36,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,547.32"
NCB42,11.8,Low Fat,0.86%,Health and Hygiene,$115.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,621.89"
FDP49,9,Regular,6.92%,Breakfast,$54.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,$718.40
DRI11,null,Low Fat,3.42%,Hard Drinks,$113.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,303.67"
FDU02,13.35,Low Fat,10.25%,Dairy,$230.54,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,748.42"
FDN22,18.85,Regular,13.82%,Snack Foods,$250.87,OUT013, Null,High,Tier 3,Supermarket Type1,"$3,775.09"
FDW12,null,Regular,3.54%,Baking Goods,$144.54,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,064.04"
NCB30,14.6,Low Fat,2.57%,Household,$196.51,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,587.27"
FDC37,null,Low Fat,5.76%,Baking Goods,$107.69,OUT019,1985,Small,Tier 1,Grocery Store,$214.39
FDR28,13.85,Regular,2.59%,Frozen Foods,$165.02,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,078.03"
NCD06,13,Low Fat,9.99%,Household,$45.91,OUT017,2007,null,Tier 2,Supermarket Type1,$838.91
FDV10,7.645,Regular,6.67%,Snack Foods,$42.31,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,065.28"
DRJ59,11.65,low fat,1.94%,Hard Drinks,$39.12,OUT013,1987,High,Tier 3,Supermarket Type1,$308.93
FDE51,5.925,Regular,16.15%,Dairy,$45.51,OUT010,1998,null,Tier 3,Grocery Store,$178.43
FDC14,null,Regular,7.22%,Canned,$43.65,OUT019,1985,Small,Tier 1,Grocery Store,$125.84
FDV38,19.25,Low Fat,17.03%,Dairy,$55.80,OUT010,1998,null,Tier 3,Grocery Store,$163.79
NCS17,18.6,Low Fat,8.08%,Health and Hygiene,$96.44,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,741.76"
FDP33,18.7,Low Fat,0.00%,Snack Foods,$256.67,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,068.01"
FDO23,17.85,Low Fat,0.00%,Breads,$93.14,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,174.50"
DRH01,17.5,Low Fat,9.79%,Soft Drinks,$174.87,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,085.29"
NCX29,10,Low Fat,8.93%,Health and Hygiene,$146.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,791.07"
FDV20,null,Regular,5.95%,Fruits and Vegetables,$128.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,797.69"
DRZ11,8.85,Regular,11.31%,Soft Drinks,$122.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,609.90"
FDX10,null,Regular,12.31%,Snack Foods,$36.99,OUT027,1985,Medium,Tier 3,Supermarket Type3,$388.16
FDB34,null,Low Fat,2.65%,Snack Foods,$87.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,180.50"
FDU02,13.35,Low Fat,10.25%,Dairy,$230.64,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,435.53"
FDK43,9.8,Low Fat,2.68%,Meat,$126.00,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,150.53"
FDA46,13.6,Low Fat,11.78%,Snack Foods,$192.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,527.38"
FDC02,21.35,Low Fat,6.91%,Canned,$259.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$6,768.52"
FDL50,12.15,Regular,4.23%,Canned,$126.50,OUT013,1987,High,Tier 3,Supermarket Type1,$373.51
FDM39,6.42,LF,8.95%,Dairy,$178.10,OUT010,1998,null,Tier 3,Grocery Store,$358.20
NCP05,19.6,Low Fat,0.00%,Health and Hygiene,$153.30,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,428.84"
FDV49,10,Low Fat,2.59%,Canned,$265.22,OUT045,2002,null,Tier 2,Supermarket Type1,"$5,815.10"
FDL12,15.85,Regular,12.16%,Baking Goods,$60.62,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,576.65"
FDS02,null,Regular,25.54%,Dairy,$196.88,OUT019,1985,Small,Tier 1,Grocery Store,$780.32
NCL17,7.39,Low Fat,6.78%,Health and Hygiene,$143.88,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,134.59"
FDM40,10.195,Low Fat,15.98%,Frozen Foods,$141.52,OUT013,1987,High,Tier 3,Supermarket Type1,$850.89
FDR13,9.895,Regular,2.87%,Canned,$117.05,OUT013,1987,High,Tier 3,Supermarket Type1,$810.94
FDA43,10.895,Low Fat,6.50%,Fruits and Vegetables,$196.38,OUT017,2007,null,Tier 2,Supermarket Type1,"$3,121.27"
NCP18,12.15,Low Fat,2.88%,Household,$151.47,OUT017,2007,null,Tier 2,Supermarket Type1,"$4,815.07"
FDK21,7.905,Low Fat,1.01%,Snack Foods,$249.04,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$6,258.52"
NCX54,9.195,Low Fat,4.82%,Household,$106.16,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,117.24"
DRK35,8.365,Low Fat,7.20%,Hard Drinks,$38.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,$796.96
FDY21,15.1,Low Fat,17.35%,Snack Foods,$194.51,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,910.28"
FDI26,null,Low Fat,6.11%,Canned,$180.03,OUT019,1985,Small,Tier 1,Grocery Store,$892.17
FDM20,10,Low Fat,0.00%,Fruits and Vegetables,$246.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,185.19"
FDV27,7.97,Regular,4.01%,Meat,$87.35,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,062.62"
FDF09,null,Low Fat,1.21%,Fruits and Vegetables,$38.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,$484.70
FDY40,null,Regular,15.03%,Frozen Foods,$51.07,OUT019,1985,Small,Tier 1,Grocery Store,$147.81
FDY45,null,Low Fat,2.60%,Snack Foods,$255.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,543.36"
FDC46,17.7,LF,19.51%,Snack Foods,$185.43,OUT010,1998,null,Tier 3,Grocery Store,$184.43
FDH19,19.35,Low Fat,3.31%,Meat,$172.57,OUT035,2004,Small,Tier 2,Supermarket Type1,"$4,865.67"
FDZ03,13.65,Regular,7.89%,Dairy,$186.02,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,118.54"
DRH37,17.6,Low Fat,4.17%,Soft Drinks,$164.85,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,302.34"
NCI17,8.645,Low Fat,14.34%,Health and Hygiene,$95.84,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,027.36"
FDJ58,15.6,Regular,10.53%,Snack Foods,$170.18,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,435.53"
FDL12,15.85,Regular,12.15%,Baking Goods,$59.22,OUT013,1987,High,Tier 3,Supermarket Type1,$599.22
FDH35,18.25,Low Fat,0.00%,Starchy Foods,$164.75,OUT045,2002,null,Tier 2,Supermarket Type1,"$4,604.67"
FDG02,7.855,Low Fat,1.13%,Canned,$189.62,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,285.03"
NCZ18,7.825,low fat,18.64%,Household,$254.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$5,580.74"
FDC29,8.39,Regular,2.42%,Frozen Foods,$114.02,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,290.35"
FDQ10,12.85,Low Fat,3.32%,Snack Foods,$172.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,207.10"
FDN48,null,Low Fat,11.37%,Baking Goods,$89.98,OUT019,1985,Small,Tier 1,Grocery Store,$643.16
FDL04,19,Low Fat,11.26%,Frozen Foods,$104.96,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,587.93"
FDV25,5.905,Low Fat,0.00%,Canned,$222.55,OUT045,2002,null,Tier 2,Supermarket Type1,"$5,305.09"
FDD58,7.76,Low Fat,5.94%,Snack Foods,$101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,697.79"
FDN04,11.8,reg,1.41%,Frozen Foods,$180.33,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,427.48"
FDV45,16.75,low fat,4.52%,Snack Foods,$187.96,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$4,693.89"
NCL18,null,Low Fat,29.34%,Household,$194.61,OUT019,1985,Small,Tier 1,Grocery Store,$583.24
FDR12,null,Regular,3.14%,Baking Goods,$171.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,091.98"
FDG20,15.5,Regular,12.64%,Fruits and Vegetables,$177.00,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,479.44"
FDZ55,6.055,Low Fat,2.54%,Fruits and Vegetables,$160.99,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,716.46"
FDQ49,null,Regular,3.91%,Breakfast,$155.96,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,285.72"
FDN33,6.305,Regular,12.31%,Snack Foods,$95.64,OUT046,1997,Small,Tier 1,Supermarket Type1,$661.81
FDN27,20.85,Low Fat,3.96%,Meat,$117.28,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,523.35"
FDW20,20.75,Low Fat,4.04%,Fruits and Vegetables,$122.17,OUT010,1998,null,Tier 3,Grocery Store,$369.52
DRG27,8.895,Low Fat,10.53%,Dairy,$39.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,$690.43
DRI25,19.6,Low Fat,3.40%,Soft Drinks,$55.16,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,381.54"
FDA44,19.7,Low Fat,5.32%,Fruits and Vegetables,$57.89,OUT035,2004,Small,Tier 2,Supermarket Type1,$622.52
NCR17,9.8,Low Fat,2.44%,Health and Hygiene,$114.55,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,274.34"
FDU04,null,Low Fat,0.97%,Frozen Foods,$120.04,OUT019,1985,Small,Tier 1,Grocery Store,$487.37
FDF41,12.15,Low Fat,13.14%,Frozen Foods,$246.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,231.73"
FDB56,8.75,Regular,7.46%,Fruits and Vegetables,$187.46,OUT035,2004,Small,Tier 2,Supermarket Type1,"$3,755.11"
NCP18,null,Low Fat,2.85%,Household,$149.97,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,363.65"
FDB56,8.75,Regular,7.46%,Fruits and Vegetables,$187.86,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,314.29"
FDT28,13.3,Low Fat,6.37%,Frozen Foods,$151.07,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,805.65"
FDD10,null,Regular,4.58%,Snack Foods,$178.53,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,854.95"
FDW57,8.31,Regular,11.59%,Snack Foods,$179.10,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,896.26"
DRB48,16.75,Regular,2.48%,Soft Drinks,$38.78,OUT013,1987,High,Tier 3,Supermarket Type1,$667.80
FDP09,19.75,Low Fat,3.40%,Snack Foods,$212.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,185.85"
FDH14,17.1,Regular,4.68%,Canned,$141.18,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,247.74"
FDA47,10.5,Regular,11.66%,Baking Goods,$163.12,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,794.33"
FDG12,6.635,Regular,0.00%,Baking Goods,$121.31,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,530.71"
DRE60,null,low fat,27.90%,Soft Drinks,$225.37,OUT019,1985,Small,Tier 1,Grocery Store,$679.12
DRK49,14.15,Low Fat,3.59%,Soft Drinks,$41.41,OUT013,1987,High,Tier 3,Supermarket Type1,$812.28
FDD03,13.3,Low Fat,7.98%,Dairy,$232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,$699.09
FDS52,8.89,low fat,0.55%,Frozen Foods,$102.40,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,732.44"
FDW39,null,Regular,6.46%,Meat,$176.94,OUT019,1985,Small,Tier 1,Grocery Store,$176.44
FDX34,null,Low Fat,7.16%,Snack Foods,$121.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,097.33"
FDV11,9.1,Regular,0.00%,Breads,$173.21,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,151.90"
FDD17,7.5,Low Fat,3.27%,Frozen Foods,$239.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$5,942.27"
FDZ16,16.85,Regular,16.08%,Frozen Foods,$192.45,OUT017,2007,null,Tier 2,Supermarket Type1,"$4,843.70"
FDZ46,7.485,Low Fat,6.91%,Snack Foods,$109.02,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,542.02"
DRA12,11.6,Low Fat,4.12%,Soft Drinks,$140.32,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,552.68"
FDY58,11.65,Low Fat,4.01%,Snack Foods,$227.07,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,141.85"
NCF19,13,Low Fat,3.53%,Household,$47.50,OUT017,2007,null,Tier 2,Supermarket Type1,$680.45
DRJ13,12.65,LF,6.30%,Soft Drinks,$159.06,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,085.95"
FDB14,20.25,Regular,17.19%,Canned,$92.51,OUT010,1998,null,Tier 3,Grocery Store,$186.42
FDJ38,8.6,Regular,4.02%,Canned,$190.15,OUT035,2004,Small,Tier 2,Supermarket Type1,"$3,036.05"
FDW11,12.6,Low Fat,4.91%,Breads,$62.72,OUT017,2007,null,Tier 2,Supermarket Type1,$866.87
FDL40,17.7,Low Fat,1.16%,Frozen Foods,$95.04,OUT035,2004,Small,Tier 2,Supermarket Type1,$868.87
DRI49,14.15,Low Fat,18.35%,Soft Drinks,$82.43,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,137.19"
FDV38,19.25,Low Fat,10.23%,Dairy,$52.80,OUT017,2007,null,Tier 2,Supermarket Type1,$928.13
DRG23,8.88,Low Fat,8.67%,Hard Drinks,$151.77,OUT013,1987,High,Tier 3,Supermarket Type1,$762.34
NCP30,20.5,Low Fat,3.28%,Household,$40.28,OUT045,2002,null,Tier 2,Supermarket Type1,$707.08
FDY25,null,Low Fat,3.38%,Canned,$180.60,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$7,968.29"
NCH54,13.5,Low Fat,7.27%,Household,$160.29,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,438.13"
NCR53,null,Low Fat,14.43%,Health and Hygiene,$224.44,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$6,976.25"
FDS52,8.89,Low Fat,0.92%,Frozen Foods,$101.70,OUT010,1998,null,Tier 3,Grocery Store,$101.20
FDG02,7.855,Low Fat,1.13%,Canned,$188.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,$952.09
NCO26,7.235,Low Fat,7.69%,Household,$116.05,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,969.44"
FDH35,null,Low Fat,6.00%,Starchy Foods,$165.45,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,262.48"
FDB51,6.92,Low Fat,3.85%,Dairy,$60.59,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,314.29"
FDX44,9.3,Low Fat,4.32%,Fruits and Vegetables,$90.82,OUT017,2007,null,Tier 2,Supermarket Type1,$535.30
NCN07,18.5,Low Fat,5.68%,Others,$132.13,OUT010,1998,null,Tier 3,Grocery Store,$263.66
NCC31,8.02,Low Fat,1.99%,Household,$154.60,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,402.17"
NCX54,9.195,Low Fat,4.83%,Household,$105.16,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,693.80"
NCO55,12.8,Low Fat,9.12%,Others,$105.59,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,143.88"
NCC30,16.6,Low Fat,2.76%,Household,$177.63,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,676.52"
FDI16,14,Regular,0.00%,Frozen Foods,$53.06,OUT035,2004,Small,Tier 2,Supermarket Type1,$905.49
FDP16,18.6,Low Fat,3.94%,Frozen Foods,$246.38,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$7,370.41"
FDB11,16,Low Fat,6.08%,Starchy Foods,$226.84,OUT035,2004,Small,Tier 2,Supermarket Type1,"$6,301.13"
NCB06,17.6,Low Fat,8.23%,Health and Hygiene,$160.69,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,597.92"
FDA45,21.25,Low Fat,15.54%,Snack Foods,$178.24,OUT035,2004,Small,Tier 2,Supermarket Type1,$529.31
NCO26,7.235,Low Fat,7.68%,Household,$117.55,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,969.44"
DRJ25,14.6,Low Fat,15.14%,Soft Drinks,$50.37,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,034.65"
FDR28,13.85,reg,2.60%,Frozen Foods,$161.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,794.33"
FDI04,13.65,Regular,7.32%,Frozen Foods,$197.64,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,768.40"
DRK12,null,Low Fat,4.17%,Soft Drinks,$31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,$898.83
FDX20,7.365,Low Fat,4.26%,Fruits and Vegetables,$226.17,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,169.21"
NCI18,18.35,Low Fat,1.41%,Household,$223.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,589.99"
FDB36,5.465,Regular,0.00%,Baking Goods,$132.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,$262.33
FDN13,18.6,Low Fat,15.29%,Breakfast,$99.84,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,910.18"
DRD24,13.85,Low Fat,3.10%,Soft Drinks,$140.92,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,701.78"
FDQ28,14,Regular,6.04%,Frozen Foods,$154.57,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,471.45"
FDM22,14,Regular,4.19%,Snack Foods,$54.76,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,331.60"
FDR07,null,Low Fat,7.74%,Fruits and Vegetables,$97.01,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,808.98"
FDV25,5.905,Low Fat,4.58%,Canned,$222.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,315.68"
DRF49,7.27,Low Fat,7.11%,Soft Drinks,$114.25,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,618.59"
FDW51,6.155,Regular,9.47%,Meat,$214.56,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,769.73"
DRL01,19.5,Regular,7.76%,Soft Drinks,$233.50,OUT017,2007,null,Tier 2,Supermarket Type1,"$5,375.00"
FDP25,15.2,Low Fat,2.13%,Canned,$216.88,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,838.97"
FDL50,12.15,Regular,4.25%,Canned,$125.00,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,743.06"
NCB30,null,Low Fat,2.56%,Household,$198.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,555.44"
FDW11,12.6,Low Fat,4.90%,Breads,$61.92,OUT018,2009,Medium,Tier 3,Supermarket Type2,$619.19
NCM43,14.5,Low Fat,1.95%,Others,$164.82,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,120.57"
FDK44,16.6,Low Fat,12.29%,Fruits and Vegetables,$173.07,OUT017,2007,null,Tier 2,Supermarket Type1,"$3,823.02"
FDM15,11.8,Regular,5.74%,Meat,$151.44,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,360.23"
FDS31,13.1,Regular,4.42%,Fruits and Vegetables,$178.83,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,969.50"
FDI32,17.7,Low Fat,29.19%,Fruits and Vegetables,$115.18,OUT010,1998,null,Tier 3,Grocery Store,$345.55
FDR47,17.85,LF,0.00%,Breads,$196.58,OUT010,1998,null,Tier 3,Grocery Store,$585.24
FDB35,12.3,Regular,6.48%,Starchy Foods,$92.68,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,010.68"
NCU05,11.8,Low Fat,9.83%,Health and Hygiene,$81.46,OUT010,1998,null,Tier 3,Grocery Store,$161.12
DRY23,null,Regular,19.10%,Soft Drinks,$42.11,OUT019,1985,Small,Tier 1,Grocery Store,$42.61
FDO24,11.1,Low Fat,17.66%,Baking Goods,$157.46,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,010.75"
FDQ28,null,Regular,6.01%,Frozen Foods,$153.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$6,024.16"
FDV39,11.3,Low Fat,0.73%,Meat,$198.14,OUT045,2002,null,Tier 2,Supermarket Type1,$988.71
NCO17,null,Low Fat,12.85%,Health and Hygiene,$117.94,OUT019,1985,Small,Tier 1,Grocery Store,$239.69
FDU50,5.75,Regular,7.51%,Dairy,$112.82,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,374.21"
FDT12,null,Regular,4.94%,Baking Goods,$226.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,739.83"
FDK58,11.35,Regular,4.52%,Snack Foods,$100.00,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,012.02"
FDO08,null,Regular,9.42%,Fruits and Vegetables,$165.75,OUT019,1985,Small,Tier 1,Grocery Store,$657.81
NCW29,14,Low Fat,2.89%,Health and Hygiene,$130.43,OUT049,1999,Medium,Tier 1,Supermarket Type1,$778.99
FDE04,19.75,Regular,1.81%,Frozen Foods,$179.77,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,336.96"
NCB19,6.525,Low Fat,9.04%,Household,$85.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,233.09"
FDV15,10.3,Low Fat,14.64%,Meat,$103.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,661.84"
FDL58,5.78,Regular,7.43%,Snack Foods,$264.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$4,745.82"
FDA08,11.85,Regular,5.02%,Fruits and Vegetables,$164.15,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,124.60"
FDT43,16.35,Low Fat,2.06%,Fruits and Vegetables,$50.13,OUT018,2009,Medium,Tier 3,Supermarket Type2,$467.39
NCX06,null,Low Fat,1.56%,Household,$182.60,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,070.73"
FDT20,10.5,Low Fat,4.14%,Fruits and Vegetables,$37.62,OUT046,1997,Small,Tier 1,Supermarket Type1,$540.63
FDB41,19,Regular,9.73%,Frozen Foods,$48.07,OUT046,1997,Small,Tier 1,Supermarket Type1,$992.71
NCN55,14.6,Low Fat,5.96%,Others,$238.85,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$6,008.85"
FDE40,null,Regular,9.87%,Dairy,$62.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,105.26"
FDX49,null,reg,10.13%,Canned,$232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,359.69"
NCM53,18.75,Low Fat,5.21%,Health and Hygiene,$104.63,OUT045,2002,null,Tier 2,Supermarket Type1,$745.70
FDE36,5.26,Regular,4.18%,Baking Goods,$161.89,OUT035,2004,Small,Tier 2,Supermarket Type1,"$3,275.74"
FDN57,18.25,Low Fat,5.43%,Snack Foods,$140.22,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,701.78"
FDI24,null,Low Fat,7.84%,Baking Goods,$177.94,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$6,704.61"
FDI19,15.1,Low Fat,5.23%,Meat,$242.75,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,119.97"
FDF24,15.5,Regular,4.25%,Baking Goods,$81.59,OUT010,1998,null,Tier 3,Grocery Store,$327.57
FDG52,13.65,Low Fat,6.57%,Frozen Foods,$45.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,$780.98
DRF36,16.1,LF,2.36%,Soft Drinks,$189.38,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,630.61"
FDS45,null,Regular,5.16%,Snack Foods,$107.36,OUT019,1985,Small,Tier 1,Grocery Store,$317.59
FDX40,12.85,Low Fat,16.57%,Frozen Foods,$39.72,OUT010,1998,null,Tier 3,Grocery Store,$231.70
DRK12,9.5,LF,4.19%,Soft Drinks,$32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,$133.16
DRC27,13.8,Low Fat,5.81%,Dairy,$245.18,OUT035,2004,Small,Tier 2,Supermarket Type1,"$5,650.64"
FDL58,5.78,Regular,0.00%,Snack Foods,$263.76,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,636.57"
NCD30,19.7,Low Fat,2.69%,Household,$96.07,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,272.34"
NCZ54,14.65,Low Fat,0.00%,Household,$161.56,OUT010,1998,null,Tier 3,Grocery Store,$324.91
FDE10,6.67,Regular,15.06%,Snack Foods,$130.06,OUT010,1998,null,Tier 3,Grocery Store,$131.16
